,Tau,Kappa,Positive hit,Mean SNPs,SFS observed,M0 LL,M0 SFS,M1 LL,M1 SFS,d2 observed inferred,d2 models,Time
30,0.0039810717,1.9952623150000002,10,100011.66,"[0.27992587648072687, 0.14413238619947596, 0.09418867623763362, 0.06899265738794297, 0.05631992667350782, 0.0449025136241818, 0.03886503342532354, 0.035836330487282436, 0.033096549868988676, 0.027278252119593914, 0.02707899534735437, 0.024438843115180377, 0.020872146892092495, 0.01954708935669951, 0.019427535293355783, 0.017086268219541113, 0.017484781764020206, 0.015870801908879878, 0.014655335598218645]",-128.1187808009,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-127.7358133663,"[0.2811736573788866, 0.1406681537578255, 0.09383200601336063, 0.07041388631814795, 0.05636299259142489, 0.04699571406913396, 0.040304787790808955, 0.03528658195302491, 0.03138352323485547, 0.028261067598778968, 0.02570632336156048, 0.023577362715640954, 0.021775927982683994, 0.020231835050527745, 0.018893615592736435, 0.017722668336379584, 0.01668947465436834, 0.015771075673852372, 0.014949345926002186]",0.0006228838171712683,4.875412034105231e-05,0.2667
25,0.0050118723,1.9952623150000002,13,100459.21,"[0.27953197943546004, 0.1406326944668781, 0.09305257352216992, 0.07001595524651841, 0.05679870782201036, 0.04796422873126244, 0.041700317135146846, 0.034500758366655504, 0.03150668741505309, 0.028423976205015068, 0.025784466287155042, 0.02206157543285993, 0.021943388421612465, 0.021007741249236708, 0.020190281088108417, 0.01801367029763429, 0.016634821833080543, 0.015009750428427915, 0.015226426615714933]",-115.7607463724,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-113.5835296625,"[0.280448547140604, 0.14038884828525672, 0.09370130321200089, 0.07035748344298084, 0.056351168536867904, 0.047013608261344195, 0.04034390844307378, 0.035341621715244007, 0.03145094390113777, 0.028338392405078523, 0.02579175102472401, 0.023669542301184215, 0.021873820260437216, 0.020334623476459084, 0.019000646981939446, 0.017833411953344893, 0.01680349345081905, 0.015888005391352884, 0.015068879816150542]",0.0006004042329586025,5.8771740918783395e-05,0.0854
19,0.0063095734,1.9952623150000002,15,99564.46,"[0.28088998417182587, 0.13940814650077138, 0.09561018613131374, 0.07034521448177757, 0.055218288553625455, 0.04703372002163852, 0.040752539520346215, 0.035623409669211195, 0.030073530884975257, 0.02890144457133698, 0.026186612169661998, 0.024784115725992265, 0.023451744104506022, 0.019494700567009277, 0.018603113542104945, 0.017721544348941114, 0.015818156318246478, 0.01434553505239326, 0.015738013664322495]",-125.0831314909,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-125.0831314912,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",0.0006652224653914436,7.165805141583773e-05,0.0838
47,0.0079432823,1.9952623150000002,20,100274.16,"[0.2799001422277036, 0.14040758680365614, 0.09412888018061924, 0.07026844235799608, 0.0561152939538307, 0.048526501099032254, 0.03966462110738689, 0.03476124643187492, 0.03140944670439513, 0.02787861909829625, 0.02550152670996489, 0.023402922132818794, 0.020956207791691116, 0.021075559710770516, 0.018439871497767126, 0.018728305302209005, 0.0172861362799996, 0.016142347055488695, 0.01540634355449907]",-110.1986928488,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-108.9546381929,"[0.2783801048706781, 0.1395922850850717, 0.09332867610190124, 0.07019680053068508, 0.05631763287052153, 0.04706482135892895, 0.040455642622269805, 0.03549873465448467, 0.0316433407176826, 0.028559006680296838, 0.026035443572224953, 0.02393245868195852, 0.022152995570299518, 0.02062772812596917, 0.019305817271021868, 0.018149133676178354, 0.017128519563528496, 0.016221296741560132, 0.015409561304738254]",0.000626070960956967,7.865026462641347e-05,0.1278
7,0.01,1.9952623150000002,25,100018.51,"[0.2743063546221346, 0.14288144242218065, 0.09878630819567154, 0.0718909778573787, 0.05586184124951222, 0.04630639464494762, 0.04050308675945289, 0.037211210389922256, 0.0314979538336852, 0.02904655653722622, 0.02489418968812223, 0.023863602253284374, 0.0209419369040353, 0.018520556717328877, 0.01744994646948761, 0.01819036851005073, 0.018050288664538786, 0.015658925587584922, 0.014138058693455269]",-150.9639645405,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-151.2231677425,"[0.28115770476573915, 0.14066200878105992, 0.09382913029838551, 0.07041264525131746, 0.056362732286908857, 0.046996107597913166, 0.040305648308150525, 0.03528779272661594, 0.03138500642440844, 0.02826276871608576, 0.025708202778828727, 0.023579390740125116, 0.021778081724087097, 0.02023409651759383, 0.01889597044304139, 0.017725104893870965, 0.01669198333157545, 0.015773648429692637, 0.01495197598459982]",0.0006234734345898266,9.08775923537808e-05,0.0931
24,0.0125892541,1.9952623150000002,40,100050.73,"[0.27146379509887786, 0.14049212499371005, 0.09446988376188799, 0.073617470940472, 0.05772656367936396, 0.04734061289186333, 0.04183565641825592, 0.036582297589694564, 0.0315000251597645, 0.028189000150958588, 0.02641775272983445, 0.023841392844562975, 0.022945705228199064, 0.020067428168872338, 0.019161676646706587, 0.016786594877471948, 0.01674633925426458, 0.015186433854979118, 0.015629245710260153]",-139.1652180694,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-139.1652180724,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",0.0006776838446497718,0.0001378928312982175,0.2192
64,0.015848931900000002,1.9952623150000002,47,99729.88,"[0.2795084252878142, 0.14288132892482971, 0.0934549655419671, 0.06943393219933873, 0.05567063697566028, 0.0467075648328885, 0.04109070629008485, 0.03466717125443174, 0.031550013942556666, 0.02668007807831733, 0.026919093335457913, 0.023413536230729396, 0.02102338365932359, 0.019878102218858305, 0.01940007170457714, 0.018573477273632632, 0.0171593036688842, 0.01643229892841493, 0.0155559096522328]",-117.069095604,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-117.0690956041,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",0.0008078386890262476,0.00020389634516377236,0.2089
34,0.0199526231,1.9952623150000002,46,100453.89,"[0.2728120381300031, 0.14155912431928422, 0.09651533036413955, 0.0720839574261256, 0.058792020870324264, 0.0490016168549691, 0.03917153541705931, 0.03406306726315059, 0.031771696110620654, 0.02853798617241824, 0.025988711773283206, 0.022953388947853946, 0.02203088887345878, 0.021614275936635157, 0.018985646692390862, 0.01747790463531489, 0.016892662652634085, 0.015880888377491, 0.013867259182843483]",-139.4620717936,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-139.4620717997,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",0.0007728961544854916,0.00015006129537662913,0.095
62,0.0251188643,1.9952623150000002,61,99848.08,"[0.27421656656954274, 0.1439317357435928, 0.09416067074983647, 0.06940397613525996, 0.05703553943430259, 0.04737269826167965, 0.03949376622861787, 0.035856573705179286, 0.031297694792967436, 0.028512814413985847, 0.025381062813422926, 0.023716080949832512, 0.021803333927969713, 0.020098709639055717, 0.01958335810984916, 0.01782918078928069, 0.017452577748706666, 0.016629997423242355, 0.016223662563675644]",-125.6379918966,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-125.6379918982,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",0.0009800901860205918,0.0002501959126898314,0.2078
23,0.0316227766,1.9952623150000002,66,99631.66,"[0.27059429541047186, 0.14215012928248222, 0.09649725274725275, 0.07165077569489334, 0.05708629605688429, 0.04797592113768585, 0.041228991596638655, 0.0362697963800905, 0.03134090174531351, 0.028573448610213315, 0.025543390433096315, 0.02500808015513898, 0.02119020685197156, 0.019725678733031674, 0.019028765352294762, 0.01838235294117647, 0.016281512605042018, 0.01601890756302521, 0.015453296703296704]",-136.4226564362,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-127.709888874,"[0.27885982776475676, 0.1397769937908116, 0.09341505719749298, 0.07023402711467729, 0.056325374213255876, 0.04705291210023822, 0.04042970255781103, 0.03546227615714838, 0.031598705369789204, 0.028507833589635878, 0.02597892478956823, 0.023871488294112533, 0.022088261287282154, 0.02055977034100912, 0.019235068276564838, 0.018075944682083806, 0.017053179879937822, 0.016144047358372587, 0.015330605235451343]",0.0011072014093580756,0.0003425699928204344,0.2414
31,0.039810717100000004,1.9952623150000002,75,98903.64,"[0.26476686044148134, 0.14277003130208546, 0.0951359811374446, 0.07189316638887759, 0.05682141550469531, 0.048294646123826175, 0.04034716858408879, 0.03684092849302817, 0.0331822431806171, 0.02796861661043132, 0.026840521972437904, 0.025255091670393106, 0.020763039147932844, 0.02113907069393065, 0.01872027318183666, 0.0185576649457295, 0.0177649497947071, 0.01706370177649498, 0.01587462904996138]",-191.1181698562,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-191.1181698664,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",0.001473394933219526,0.000641032540383552,0.085
45,0.0501187234,1.9952623150000002,77,101837.37,"[0.26717625012328633, 0.13869217871584968, 0.09816549955616925, 0.07368576782720189, 0.05744156228424894, 0.04802248742479535, 0.04303185718512674, 0.03507249235624815, 0.03181773350429037, 0.027389288884505376, 0.02614656277739422, 0.02357234441266397, 0.021816747213729164, 0.02060360982345399, 0.019686359601538615, 0.01892691586941513, 0.018009665647499753, 0.015948318374593155, 0.01479435841798994]",-181.1172114736,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-155.9908765716,"[0.276327882029334, 0.13880247360228914, 0.09295957066661184, 0.07003796862259822, 0.056284901376699066, 0.04711610371670515, 0.04056688934526834, 0.0356549148111318, 0.03183443371275312, 0.02877799804966322, 0.026277231934094356, 0.02419321797916627, 0.022429782681289225, 0.020918230598233698, 0.01960818516955795, 0.01846186387865436, 0.017450374254893288, 0.01655124435833558, 0.01574673321272138]",0.0018691422135074412,0.0009029494635345714,0.0811
48,0.0630957344,1.9952623150000002,71,100788.46,"[0.2625884269930848, 0.14169183689690804, 0.09667355536125904, 0.07107940545266672, 0.058113425005961374, 0.04706501867896034, 0.04166004292186631, 0.03726850011922741, 0.0323106271361577, 0.029687624195215007, 0.025802797869803672, 0.023636833320085843, 0.022047134567999366, 0.020904538589937207, 0.020030204276289643, 0.018649153485414512, 0.01754629997615452, 0.016493124552897226, 0.016751450600111278]",-209.9384212308,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-148.4697910477,"[0.2731175609956016, 0.13756875129650897, 0.0923842982273699, 0.0697915991977685, 0.056235616012379405, 0.047197992945171484, 0.04074229062716975, 0.03590028907565429, 0.03213408826106333, 0.029120948008409978, 0.02665548829013979, 0.02460078900654702, 0.022862059344400346, 0.021371591545104766, 0.020079733301158958, 0.018949245307378813, 0.017951650516612825, 0.017064800048135948, 0.016271207993424266]",0.0025097337429833403,0.0011556344409496754,0.08990000000000001
5,0.0794328235,1.9952623150000002,84,100808.68,"[0.2534078476595996, 0.14490868052475434, 0.09691790610800635, 0.07329213361325487, 0.058921513547611305, 0.049311530993425785, 0.041258858432636485, 0.03606453965719467, 0.03315690391003085, 0.02947061316616892, 0.02623771647101728, 0.02522250805760076, 0.02254156933479208, 0.021388371428289817, 0.02070828035522438, 0.018618725174211734, 0.017219117458627795, 0.01666715948628483, 0.014686024621268123]",-314.1043753589,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-233.6375760045,"[0.2717668111535328, 0.13705059104721226, 0.09214335554223307, 0.06968902702374491, 0.056215875500083695, 0.04723331469683221, 0.04081680644594351, 0.03600408134004923, 0.03226054523999325, 0.029265441532943925, 0.026814652386619942, 0.0247720992551489, 0.023043573875083535, 0.02156178466816924, 0.020277384378219483, 0.019153362677612334, 0.018161417429060658, 0.017279535984864144, 0.016490339822652876]",0.0028730405128495353,0.0019374987757644164,0.0771
63,0.1,1.9952623150000002,84,98544.98,"[0.24709925621954348, 0.14427289048473968, 0.0981277250577071, 0.0722031290074378, 0.059676840215439855, 0.049982046678635546, 0.04225698897153116, 0.03858425237240318, 0.034449858938189276, 0.030223134136958194, 0.026519620415491153, 0.025606565786099, 0.02267248012310849, 0.02030264170300077, 0.019738394460117978, 0.018835598871505516, 0.01732751987689151, 0.017655809181841498, 0.01446524749935881]",-421.1770057859,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-421.1770058062,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",0.00364223296684695,0.002996764039190134,0.1558
27,0.1258925412,1.9952623150000002,89,99698.98,"[0.2469984775256215, 0.1429286684990855, 0.09705007816730869, 0.07423339838760767, 0.05674026995820859, 0.05001685961560076, 0.04284385952363923, 0.03884864152370053, 0.034199474797429165, 0.0303166542348289, 0.0261068593090623, 0.02589228238323439, 0.021835756690202008, 0.021283987452358814, 0.020027179743938202, 0.01851492331429389, 0.018494487416595994, 0.01751356432709698, 0.016154577130186885]",-434.6015037003,"[0.2818616917981988, 0.1409331892865289, 0.09395603924379033, 0.0704674184729001, 0.05637422420393998, 0.046978745412816214, 0.040267676138661355, 0.03523436311915922, 0.03131955442915895, 0.028187698868468846, 0.025625263860273865, 0.02348989428759141, 0.021683036633914982, 0.020134295522257595, 0.018792047678041327, 0.017617575617144502, 0.016581271873265076, 0.015660108398264868, 0.01483590515562362]",-272.4835490152,"[0.2670454454014847, 0.1352457982049954, 0.0913087227822167, 0.06933793765381392, 0.056153683147218116, 0.04736269665357194, 0.04108215017307342, 0.03637062941584585, 0.0327051263522684, 0.029771836069667417, 0.02737106457104902, 0.02536968248993539, 0.023675523321563856, 0.022222753833183135, 0.02096309634186475, 0.019860342585412347, 0.01888680384001175, 0.018020944481379055, 0.017245762681444888]",0.003966364277843192,0.005083579153886678,0.3452
